Destination,Packing Tips,Budget,Destination_Type,Travel_Purpose,Travel_season,Municipality
Dahican Surf Resort,"Sunscreen, swimwear, dry bag, hat, slippers, extra clothes, foods, drinks, Towel","1,500",Beach,Relaxation,Summer,Mati City
Dahican Surf Resort,"Swimwear, dry bag, hat, slippers, umbrella, cap, jacket, extra clothes","1,500",Beach,Relaxation,Rainy,Mati City
Dahican Surf Resort,"Sunscreen, swimwear, dry bag, hat, slippers","1,500",Beach,Relaxation,Holiday Season,Mati City
Masao Beach,"Sunscreen, swimwear, dry bag, hat, slippers, extra clothes, foods, drinks, Towel",500,Beach,Relaxation,Summer,Mati City
Masao Beach,"Towel, waterproof pouch, snacks, Swimwear, dry bag, hat, slippers, umbrella, cap, jacket, extra clothes",500,Beach,Relaxation,Rainy,Mati City
Masao Beach,"Towel, waterproof pouch, snacks, sunblock, extra clothes, water",500,Beach,Relaxation,Holiday Season,Mati City
Amihan sa Dahican,"Sunscreen, swimwear, dry bag, hat, slippers, extra clothes, foods, drinks, Towel",300,Beach,Relaxation,Summer,Mati City
Amihan sa Dahican,"Extra clothes, swim gear, water, snacks, foods, umbrella, cap, jacket",300,Beach,Relaxation,Rainy,Mati City
Amihan sa Dahican,"Sunglasses, beach mat, swim gear, water, extra clothes, foods, camera",300,Beach,Relaxation,Holiday Season,Mati City
Blue Bless Beach Resort,"Sunscreen, swimwear, dry bag, hat, slippers, extra clothes, foods, drinks, Towel",500,Beach,Relaxation,Summer,Mati City
Blue Bless Beach Resort,"Extra clothes, swim gear, water, snacks, foods, umbrella, cap, jacket",500,Beach,Relaxation,Rainy,Mati City
Blue Bless Beach Resort,"Extra clothes, insect repellent, hat, sunblock, water, foods",500,Beach,Relaxation,Holiday Season,Mati City
Mayo Beach,"Sunscreen, swimwear, dry bag, hat, slippers, extra clothes, foods, drinks, Towel",300,Beach,Relaxation,Summer,Mati City
Mayo Beach,"Extra clothes, swim gear, water, snacks, foods, umbrella, cap, jacket",300,Beach,Relaxation,Rainy,Mati City
Mayo Beach,"Light clothing, toiletries, water shoes",300,Beach,Relaxation,Holiday Season,Mati City
Casa Blanca Mati,"Sunscreen, swimwear, dry bag, hat, slippers, extra clothes, foods,, camera, drinks, Towel","1,000",Beach,Relaxation,Summer,Mati City
Casa Blanca Mati,"Swimwear, dry bag, hat, slippers, umbrella, cap, jacket, extra clothes","1,000",Beach,Relaxation,Rainy,Mati City
Casa Blanca Mati,"Picnic mat, water, shades, camera, extra clothes, food, water","1,000",Beach,Relaxation,Holiday Season,Mati City
Resurreccion Beach Resort,"Camping gear, dry bag, bug spray, Snorkeling gear, dry bag, sunblock, food supplies, slippers, tent, flashlight, water, Swimwear, extra cash, snacks, camera",500,Beach,Relaxation,Summer,Mati City
Resurreccion Beach Resort,"Swimwear, dry bag, hat, slippers, umbrella, cap, jacket, extra clothes",500,Beach,Relaxation,Rainy,Mati City
Resurreccion Beach Resort,"Camping gear, dry bag, bug spray, Snorkeling gear, dry bag, sunblock, food supplies, slippers, tent, flashlight, water, Swimwear, extra cash, snacks",500,Beach,Relaxation,Holiday Season,Mati City
Lane's Kalapyahan Beach Resort,"Sunscreen, swimwear, dry bag, hat, slippers, extra clothes, drinks, Towel, camera","1,000",Beach,Relaxation,Summer,Mati City
Lane's Kalapyahan Beach Resort,"Swimwear, dry bag, hat, slippers, umbrella, cap, jacket, extra clothes","1,000",Beach,Relaxation,Rainy,Mati City
Lane's Kalapyahan Beach Resort,"Sunscreen, swimwear, dry bag, hat, slippers, extra clothes, drinks, Towel, camera","1,000",Beach,Relaxation,Holiday Season,Mati City
Pujada Beach Resort,"Flip-flops, rash guard, light snacks, slippers, extra clothes, food, water, camera",100,Beach,Relaxation,Summer,Mati City
Pujada Beach Resort,"Swimwear, dry bag, hat, slippers, umbrella, cap, jacket, extra clothes",100,Beach,Relaxation,Rainy,Mati City
Pujada Beach Resort,"Flip-flops, rash guard, light snacks, slippers, extra clothes, food, water, camera",100,Beach,Relaxation,Holiday Season,Mati City
Gregorio Beach Resort,"Flip-flops, rash guard, light snacks, slippers, extra clothes, food, water",500,Beach,Relaxation,Summer,Mati City
Gregorio Beach Resort,"Flip-flops, rash guard, light snacks, slippers, extra clothes, food, water, Swimwear, dry bag, hat, slippers, umbrella, cap, jacket, extra clothes",500,Beach,Relaxation,Rainy,Mati City
Gregorio Beach Resort,"Flip-flops, rash guard, light snacks, slippers, extra clothes, food, water",500,Beach,Relaxation,Holiday Season,Mati City
Subangan Surf Resort,"Flip-flops, rash guard, light snacks, slippers, extra clothes, food, water",550,Beach,Relaxation,Summer,Mati City
Subangan Surf Resort,"Flip-flops, rash guard, light snacks, slippers, extra clothes, food, water",550,Beach,Relaxation,Rainy,Mati City
Subangan Surf Resort,"Flip-flops, rash guard, light snacks, slippers, extra clothes, food, water",550,Beach,Relaxation,Holiday Season,Mati City
Secluded Beach Resort,"Camping gear, dry bag, bug spray, Snorkeling gear, sunblock, food supplies, slippers, flashlight, water, camera",800,Beach,Relaxation,Summer,Mati City
Secluded Beach Resort,"Flip-flops, rash guard, light snacks, slippers, extra clothes, food, water, cap, umbrella",800,Beach,Relaxation,Rainy,Mati City
Secluded Beach Resort,"Camping gear, dry bag, bug spray, Snorkeling gear, sunblock, food supplies, slippers, flashlight, water, camera",800,Beach,Relaxation,Holiday Season,Mati City
Pujada Island,"Snorkeling gear, dry bag, sunblock, food supplies, slippers, tent, flashlight, water","1,500",Island,Adventure,Summer,Mati City
Pujada Island,"Snorkeling gear, dry bag, sunblock, food supplies, slippers, tent, flashlight, water","1,500",Island,Adventure,Holiday Season,Mati City
Pujada Island,"Snorkeling gear, dry bag, sunblock, food supplies, slippers, tent, flashlight, water","1,500",Island,Nature Appreciation,Summer,Mati City
Pujada Island,"Snorkeling gear, dry bag, sunblock, food supplies, slippers, tent, flashlight, water, extra clothes, camera","1,500",Island,Nature Appreciation,Holiday Season,Mati City
Waniban Island,"Snorkeling gear, dry bag, sunblock, food supplies, slippers, tent, flashlight, water, extra clothes, camera","1,200",Island,Nature Appreciation,Summer,Mati City
Waniban Island,"Snorkeling gear, dry bag, sunblock, food supplies, slippers, tent, flashlight, water, extra clothes, camera","1,200",Island,Nature Appreciation,Holiday Season,Mati City
Waniban Island,"Snorkeling gear, dry bag, sunblock, food supplies, slippers, tent, flashlight, water, extra clothes, camera","1,200",Island,Adventure,Summer,Mati City
Waniban Island,"Snorkeling gear, dry bag, sunblock, food supplies, slippers, tent, flashlight, water, extra clothes, camera","1,200",Island,Adventure,Holiday Season,Mati City
Mount Hamiguitan Range,"Hiking shoes, jacket, water, trail snacks, flashlight","2,000",Mountain,Nature Appreciation,Summer,Mati City
Mount Hamiguitan Range,"Hiking shoes, jacket, water, trail snacks, flashlight","2,000",Mountain,Nature Appreciation,Holiday Season,Mati City
Mount Hamiguitan Range,"Hiking shoes, jacket, water, trail snacks, flashlight","2,000",Mountain,Adventure,Summer,Mati City
Mount Hamiguitan Range,"Hiking shoes, jacket, water, trail snacks, flashlight","2,000",Mountain,Adventure,Holiday Season,Mati City
Sleeping Dinosaur,"Hiking shoes, binoculars, sun hat, camera",500,Mountain,Nature Appreciation,Summer,Mati City
Sleeping Dinosaur,"Hiking shoes, binoculars, sun hat, camera",500,Mountain,Adventure,Summer,Mati City
